Matrícula_empregado,Sexo,Escolaridade,Satisfação_clientes_média,Absenteísmo,Distância_trabalho,Qtde_filhos,Idade,Experiência_vendas,DISC_Dominância,DISC_Influência,DISC_Estabilidade,DISC_Conformidade,Perfil_Comunicador,Perfil_Executor,Perfil_Analista,Perfil_Planejador
9985111,F,Médio,"0,00","6,3%","6,80","3,00","26,00","0,00","0,00","0,00","5,00","4,00","3,00","1,00","7,00","8,00"
9266450,M,Médio,"6,00","4,7%","27,70","0,00","21,00","1,80","3,00","2,00","3,00","2,00","4,00","3,00","4,00","1,00"
4877364,M,Médio,"1,00","2,8%","22,70","0,00","25,00","1,30","0,00","0,00","5,00","5,00","0,00","3,00","8,00","10,00"
7787794,M,Médio,"1,00","7,4%","17,10","0,00","31,00","0,20","1,00","0,00","5,00","4,00","0,00","0,00","7,00","9,00"
8616193,F,Médio,"6,00","6,6%","14,20","3,00","35,00","0,30","3,00","1,00","3,00","1,00","5,00","5,00","6,00","1,00"
9835811,F,Médio,"5,00","6,5%","47,10","1,00","33,00","0,00","3,00","2,00","3,00","2,00","4,00","7,00","3,00","1,00"
1830641,F,Médio,"0,00","3,4%","17,10","1,00","21,00","0,00","0,00","0,00","5,00","4,00","2,00","0,00","8,00","8,00"
7845594,F,Médio,"4,00","7,7%","18,50","3,00","31,00","1,40","0,00","2,00","4,00","3,00","4,00","7,00","10,00","3,00"
2947054,M,Médio,"4,00","3,4%","14,00","2,00","28,00","1,90","0,00","2,00","2,00","3,00","2,00","4,00","9,00","6,00"
9841960,M,Superior,"0,00","5,7%","10,90","1,00","20,00","0,00","1,00","0,00","5,00","5,00","2,00","4,00","6,00","10,00"
4718535,F,Médio,"4,00","7,2%","38,00","3,00","32,00","1,40","1,00","1,00","3,00","5,00","4,00","7,00","9,00","2,00"
9404254,M,Médio,"2,00","5,4%","16,20","3,00","35,00","0,50","0,00","1,00","2,00","3,00","0,00","1,00","9,00","7,00"
8802179,M,Médio,"6,00","4,6%","37,20","2,00","25,00","0,00","1,00","3,00","2,00","2,00","7,00","2,00","0,00","2,00"
7507690,F,Médio,"6,00","4,6%","10,90","2,00","25,00","2,00","3,00","2,00","2,00","4,00","7,00","6,00","2,00","5,00"
2052111,M,Médio,"5,00","6,0%","17,30","2,00","23,00","2,90","3,00","1,00","5,00","5,00","3,00","5,00","9,00","1,00"
6161155,M,Médio,"2,00","3,6%","16,50","3,00","30,00","0,00","1,00","1,00","4,00","4,00","2,00","0,00","8,00","9,00"
4059396,F,Médio,"5,00","7,3%","31,40","1,00","20,00","0,10","2,00","3,00","1,00","4,00","4,00","3,00","6,00","7,00"
6532662,M,Médio,"6,00","4,1%","12,60","3,00","22,00","1,50","4,00","2,00","3,00","4,00","3,00","1,00","8,00","3,00"
9693254,M,Superior,"2,00","7,2%","19,50","0,00","26,00","0,00","1,00","1,00","5,00","3,00","3,00","3,00","9,00","9,00"
8156125,M,Médio,"2,00","2,7%","24,80","3,00","29,00","0,80","1,00","1,00","3,00","5,00","2,00","3,00","10,00","4,00"
6605131,M,Médio,"6,00","5,6%","34,50","0,00","30,00","0,00","2,00","3,00","4,00","5,00","3,00","5,00","6,00","1,00"
9814688,F,Médio,"4,00","3,5%","17,80","1,00","21,00","0,10","1,00","1,00","1,00","2,00","3,00","2,00","1,00","0,00"
2411882,F,Médio,"5,00","2,3%","13,60","3,00","34,00","0,00","0,00","2,00","2,00","2,00","3,00","2,00","2,00","1,00"
3010641,F,Médio,"4,00","6,6%","16,30","3,00","32,00","0,60","4,00","2,00","4,00","5,00","2,00","5,00","8,00","9,00"
6029440,M,Médio,"4,00","4,3%","19,40","1,00","35,00","0,90","1,00","2,00","3,00","2,00","2,00","4,00","5,00","8,00"
